,0
0,-18922.609053881504
1,-31778.583746423443
2,-22723.893270327222
3,-22025.221435507105
4,-24237.914479982905
5,-19061.390715355927
6,-18757.882893424998
7,-19119.822612382784
8,-20635.176761899966
9,-18801.54374725059
10,-20083.952536761404
11,-18497.655856803984
12,-20200.28257296456
13,-19819.967628894905
14,-21483.013014309334
15,-22767.194350164595
16,-18133.998344050342
17,-19555.471117065455
18,-20469.6115244098
19,-19352.74033965346
20,-21338.138752471295
21,-19573.087459030998
22,-18954.99307732081
23,-10308.43318068339
24,-19620.96353305681
25,-17695.53189279656
26,-18565.68106745048
27,-17157.949590317676
28,-22245.472757242598
29,-19331.80867219624
30,-21312.21632599181
31,-20786.69578287844
32,-18746.540499198443
33,-18825.027845776105
34,-21109.622084999384
35,-21348.010949878582
36,-22113.203165877087
37,-19155.6777979462
38,-24066.10835891391
39,-11666.269984622331
40,-12002.97309763285
41,-18765.285887657574
42,-12844.131253275867
43,-8974.001734823858
44,-15070.282970178112
45,-16594.51328525575
46,-19683.283893109434
47,-15444.840801728653
48,-19493.718101094717
49,-17104.828089550843
50,-18786.200062197437
51,-19278.5551213895
52,-18394.069136663755
53,-21913.448969736834
54,-18961.16506492625
55,-23386.759489024895
56,-22843.445051032046
57,-24656.85511687163
58,-14147.088153832174
59,-18007.02134766358
60,-10199.462107004243
61,-19059.50178685992
62,-17336.189845615114
63,-20616.716260847206
64,-20707.194769459504
65,-20497.359331778556
66,-19785.666602372297
67,-19693.91626800885
68,-11970.929254789904
69,-9564.284072753242
70,-9094.654427549507
71,-19303.01128992093
72,-10408.2924344694
73,-11438.343458774867
74,-9647.690194051904
75,-11299.657299198447
76,-8418.638761348955
77,-7988.104730512345
78,-18745.259266528374
79,-8947.738520740688
80,-19606.870685240923
81,-18949.576704560855
82,-8419.186663765437
83,-8511.670262568705
84,-10358.65672625387
85,-9789.321008317238
86,-7971.479227871265
87,-7694.975631681674
88,-7702.732314901334
89,-15571.421752272547
90,-7533.17389971279
91,-8435.087012453425
92,-18066.259785851547
93,-15801.62506941674
94,-8106.560438111274
95,-18599.389202366183
96,-8187.689812074017
97,-8200.527269804214
98,-9076.80790187987
99,-7124.563572216743
100,-7211.538013289678
101,-9640.684034171194
102,-9899.073321811487
103,-8536.977159729626
104,-8489.3418086134
105,-19404.895136860003
106,-9096.065377894225
107,-7465.948337502639
108,-7632.693518214146
109,-7963.789547754945
110,-6898.840441533878
111,-7113.952972701438
112,-8104.0354701577335
113,-7793.590977772171
114,-8384.582828821838
115,-7321.479261196617
116,-8205.766982847936
117,-7908.308500138422
118,-7977.024349980832
119,-7836.115344633299
120,-7632.780127094472
121,-7414.893965554076
122,-7519.714556807926
123,-8163.716202439267
124,-9241.888560589894
125,-12191.803942957256
126,-7655.35892235261
127,-6588.608033080054
128,-12094.648482812783
129,-6070.459819625858
130,-9356.883272148028
131,-27615.167106692632
132,-9103.813761109697
133,-18083.7779090901
134,-10934.05961218505
135,-16798.9492830038
136,-14617.653924679797
137,-8825.417265664144
138,-8947.20741471131
139,-6228.335344005153
140,-16164.722213387131
141,-10768.915898579895
142,-9788.701474385573
143,-10638.504512233532
144,-10438.688845109036
145,-5758.463191558744
146,-6381.5677225097315
147,-6515.3382290767695
148,-8289.802345322147
149,-6254.335790514684
150,-8751.374898691543
151,-8043.249969868268
152,-8103.731004740727
153,-7366.497602861607
154,-8178.144279007662
155,-10525.449272720849
156,-9630.675174116492
157,-9392.449945747869
158,-8689.600459852356
159,-8268.875883560859
160,-8345.585931943824
161,-8156.274449764807
162,-11604.669624245178
163,-8618.748453170087
164,-10630.489737678643
165,-12048.314717626308
166,-12647.768376522612
167,-12772.641911413953
168,-6353.3234597360915
169,-8541.071983990201
170,-7800.319256387779
171,-7390.010792551053
172,-9357.61840032624
173,-19845.721944297802
174,-20656.292961178508
175,-20946.7681874406
176,-7184.043700165787
177,-20560.3539434607
178,-20622.94819084081
179,-7823.509345713923
180,-6921.765221942842
181,-6895.364954929231
182,-6642.866091916212
183,-18943.03897119369
184,-19419.902534185654
185,-18911.885523070454
186,-17714.644554463637
187,-19655.103828752686
188,-18504.805630695384
189,-18070.40376719182
190,-17273.41117243229
191,-19382.266647758235
192,-18413.282242091856
193,-18762.0393739778
194,-16683.25235606177
195,-11805.820490848804
196,-15161.597804491781
197,-15825.933333923505
198,-10486.392545254577
199,-11272.610827150931
200,-9836.808203085518
