,0
0,-12170.816980756903
1,-12693.003719225448
2,-16220.254880112017
3,-14914.918819921328
4,-17803.22882343285
5,-17316.59183689832
6,-15722.29527525781
7,-13355.727062647453
8,-14419.473410704348
9,-14573.631160167159
10,-12462.180593876215
11,-13380.253577264526
12,-14153.809401603625
13,-15175.392993593836
14,-13691.335990066616
15,-15997.488218260802
16,-14063.731518914094
17,-10789.426084537965
18,-13593.100546311634
19,-13098.392937574095
20,-14772.128359119528
21,-12412.757881196758
22,-14348.606287032162
23,-11577.355089786946
24,-12121.411828774888
25,-13697.898132664766
26,-13279.337898318281
27,-13531.132864305333
28,-10638.80259569959
29,-15140.738376875912
30,-14912.67754410051
31,-11643.99398247523
32,-7481.666593440137
33,-11993.459700827283
34,-14246.477237986017
35,-13649.485420037405
36,-13294.23235746526
37,-9996.811799783416
38,-12859.794256158088
39,-10070.51831850741
40,-11389.347874629777
41,-9736.615766185281
42,-9593.715602221051
43,-9105.691306455537
44,-9965.142941852853
45,-13217.667453536033
46,-15415.692159649745
47,-12619.862270011712
48,-15076.298566072637
49,-13057.03978041661
50,-11267.718389704047
51,-14462.916627913917
52,-13541.901712166271
53,-8468.94804989285
54,-12933.21998780991
55,-11346.787058457181
56,-14091.813314818613
57,-11204.271191875969
58,-13807.505424007153
59,-15106.063885015034
60,-15571.254909150515
61,-14890.394465710919
62,-15692.611562069811
63,-16496.907043348307
64,-6505.339107162896
65,-11664.574457252505
66,-10045.329555278335
67,-7161.264886558548
68,-7529.874848227092
69,-8027.0532488999215
70,-6483.580126675442
71,-7895.612645211872
72,-7169.667243229662
73,-6268.758396883836
74,-5923.382484599537
75,-6363.861221994974
76,-6627.208817243327
77,-12770.145416715724
78,-10010.232907404032
79,-11293.741985988294
80,-11281.107634932263
81,-7569.85505134549
82,-6301.132802097205
83,-6025.003701037063
84,-6251.953386450864
85,-6091.702808720059
86,-8794.832125065246
87,-14701.497611998033
88,-11530.647479538655
89,-8166.694502664905
90,-6355.716496833965
91,-5988.948712930673
92,-7778.22159270284
93,-6793.460847765089
94,-7458.99336970219
95,-6115.391798028673
96,-5308.284266078893
97,-15450.789260825444
98,-13763.688857677475
99,-5529.053892408564
100,-7473.44570346462
101,-4275.954514246364
102,-5219.257324826246
103,-4644.165209429628
104,-5790.533013791209
105,-4992.748894239861
106,-3727.9331166228644
107,-3629.34533962306
108,-3619.9229510865653
109,-3973.450104273578
110,-3902.742281644082
111,-4031.383406156684
112,-4347.156613953336
113,-4479.433604901283
114,-3597.06253401566
115,-4042.285018624203
116,-4033.427217060028
117,-6391.720396566347
118,-6530.962360149776
119,-4187.799475373229
120,-4564.290365224571
121,-5606.883621540492
122,-4140.646877948375
123,-4505.701213515478
124,-11743.163247929539
125,-6289.604845092935
126,-7916.666590685398
127,-6181.175404886306
128,-5302.209292700488
129,-7377.638981646474
130,-5621.171290561508
131,-7197.296559020445
132,-5236.650296937546
133,-5366.319761594548
134,-4505.127583575165
135,-5233.975118645786
136,-7431.548285575473
137,-4540.462646628041
138,-4180.477445031969
139,-4134.099710462133
140,-4770.282290877938
141,-4366.24947116994
142,-5329.69563984996
143,-4400.954296256233
144,-4211.150579388908
145,-2596.2564727597724
146,-4086.0826939229455
147,-4969.366405394718
148,-5321.584017435429
149,-4769.620169944289
150,-4622.072788288018
151,-4206.277199682434
152,-5611.249602654252
153,-6785.924473789481
154,-6507.577229966609
155,-4542.3221939739
156,-3193.791694215619
157,-2621.133101640015
158,-3742.6836215863855
159,-4156.966780998673
160,-3936.4888511665804
161,-7741.679329930882
162,-4405.420346805151
163,-3738.649710957463
164,-3037.397644177322
165,-4343.41463430049
166,-4107.090197594537
167,-3670.8834091463186
168,-3607.8129338999133
169,-3129.890396900069
170,-2690.2387181296826
171,-2551.9823150428897
172,-3029.4650095719976
173,-3928.353997758318
174,-2476.34417257134
175,-3791.2834622159853
176,-5208.682054256535
177,-5773.33101533329
178,-4879.901263578013
179,-3047.7539683143077
180,-2659.770047502102
181,-2854.7922788373353
182,-3205.179894157637
183,-4376.147787353397
184,-3302.274981689825
185,-3526.7010562948817
186,-3117.841500734676
187,-4664.161103835632
188,-3013.692842759593
