,0
0,-22452.680206277946
1,-21537.453739714645
2,-14853.020466714359
3,-22558.14160858631
4,-22689.83629044774
5,-24816.500639160742
6,-21660.850428602436
7,-18843.64003169607
8,-20502.45421415399
9,-23007.870249126576
10,-21654.439091261465
11,-23609.22160159761
12,-24370.451474093
13,-21641.933681200848
14,-21857.967142034824
15,-19819.295032845424
16,-19546.98619821169
17,-19743.401329354
18,-19892.5714531885
19,-19455.89714533643
20,-19151.78651063059
21,-19686.768970791283
22,-19290.100318068155
23,-16976.607410337943
24,-18485.083623580307
25,-21155.47376087034
26,-19369.753866098166
27,-19070.38958568998
28,-20426.084412790577
29,-22068.815846827645
30,-21942.87259516853
31,-23052.979627376866
32,-22088.919948805258
33,-19755.54713750873
34,-19525.83278507316
35,-19170.156596010118
36,-19703.41947398188
37,-19725.458251963097
38,-19711.953701494665
39,-21405.18332609394
40,-20960.975136666195
41,-20054.94680984009
42,-21027.222198787138
43,-19816.66198027258
44,-19717.365736612403
45,-21003.630580300807
46,-22094.160381621994
47,-20581.720184610167
48,-22458.489927321458
49,-21771.617053108
50,-19359.905486336655
51,-16956.42447631687
52,-17850.31423692556
53,-19839.687741586433
54,-23382.44140994242
55,-17913.001401009536
56,-20041.212122787074
57,-28141.627923655895
58,-26192.039682089653
59,-26325.863242094132
60,-19084.134995683235
61,-19105.42347156832
62,-10433.218587992154
63,-16363.20631886906
64,-11314.012254311507
65,-17731.15558363148
66,-11373.81834448355
67,-15204.883753974194
68,-18506.54125801865
69,-11226.940099842983
70,-12634.670172026532
71,-11783.506371529136
72,-9772.543850924783
73,-9730.505613520132
74,-12685.29629380487
75,-8744.99620062283
76,-9187.195697538371
77,-13169.94473590788
78,-11789.940674699037
79,-15009.359641380806
80,-19570.164390391154
81,-16844.92388045382
82,-15921.32884456937
83,-10418.86388137759
84,-19075.806635872694
85,-14747.28103973246
86,-13286.015567805973
87,-19993.414550316866
88,-19511.810570509377
89,-22553.094453954778
90,-18786.732467613205
91,-19627.233084589927
92,-11312.120783312523
93,-25017.84904368672
94,-23231.931257363332
95,-18169.18708969105
96,-14227.63057494762
97,-19279.75356181152
98,-18228.228105074366
99,-14522.12030901367
100,-12274.575364725959
101,-17845.81310288423
102,-20445.408359976114
103,-24995.893418541484
104,-19948.929429535558
105,-19351.484194415523
106,-12128.876354128986
107,-21673.832287368517
108,-16381.700687003487
109,-23421.235094505853
110,-10351.666104276255
111,-10515.14785140648
112,-10337.539419895045
113,-8806.701822436673
114,-9343.214047698091
115,-9676.570406625378
116,-12177.896400020727
117,-9133.69088223551
118,-9532.4874543763
119,-7349.468422677115
120,-8942.903445308071
121,-8972.866838911435
122,-7792.509107247277
123,-7268.731995009051
124,-8146.08583141626
125,-13439.394814099413
126,-8581.622032522824
127,-18181.007500415195
128,-8913.80590574013
129,-11163.423284697137
130,-10840.337088264749
131,-8929.097108545395
132,-10336.330023374068
133,-10246.782978547963
134,-24673.085246515413
135,-10354.745362555574
136,-16777.2016133706
137,-12968.91221622317
138,-9678.817557915108
139,-21630.898097180696
140,-11343.880481782502
141,-8688.648873760252
142,-9289.114149066987
143,-16415.226092025645
144,-12975.440354529044
145,-17290.60084049203
146,-11402.918153942253
147,-10276.94389302612
148,-8360.094570693464
149,-11911.987569044792
150,-8121.3882249786575
151,-8489.006597685824
152,-10279.167398684875
153,-16176.713226754378
154,-21282.255548477522
155,-12725.447442995646
156,-14987.22405234994
157,-12098.46247088278
158,-11290.63469968439
159,-12385.386369405867
160,-16670.802417067644
161,-13114.296677542963
162,-16588.591400593352
163,-16522.396313504676
164,-11856.77113011172
165,-11718.247592576266
166,-12234.494660655402
167,-12425.55834980043
168,-11588.366374741594
169,-9443.990554615995
170,-7398.031534172481
171,-6971.9607444687235
172,-7075.087144605664
173,-7576.110858047706
174,-8189.7618537508515
175,-10317.611227352148
176,-10736.440656517068
177,-19441.981555781374
178,-9147.09930980929
179,-13276.348588471863
180,-9469.250545518036
181,-16753.461637030257
182,-16419.814377658906
183,-12501.47031775675
184,-7729.159692001554
185,-15756.429946890963
186,-9064.350690822985
187,-9853.281363561915
188,-11832.875492786661
189,-13174.67245867955
190,-13915.72493058125
191,-17917.250176934234
192,-17305.81620175728
193,-17419.908431665717
194,-10866.550048892663
195,-18407.718693873234
196,-9639.781414337032
197,-11278.354153615628
198,-19248.195162100856
199,-19556.03761263024
200,-18138.068296314268
