,0
0,-18736.835591578478
1,-15748.457370339727
2,-19257.481150297484
3,-19538.00591932051
4,-19131.973843969838
5,-14863.224064644548
6,-17248.59782414506
7,-17700.145608947365
8,-16227.299343521168
9,-17837.638486914337
10,-17735.8559829225
11,-17739.76766265122
12,-12679.271671303146
13,-17762.620581892166
14,-18462.642227969547
15,-16350.476796184512
16,-16558.238139509434
17,-16579.229535313207
18,-17355.24447299323
19,-15416.00906114082
20,-17355.248680464985
21,-12617.961890319044
22,-17198.883252599073
23,-19186.536483353662
24,-16149.993482110242
25,-16807.548406276786
26,-17021.281411204378
27,-18765.738144738938
28,-19810.47038469895
29,-17831.948584604048
30,-18523.996984793266
31,-17530.417987173023
32,-16511.60667621012
33,-14774.555994189106
34,-16643.399587296222
35,-16586.225161886057
36,-15727.071061291175
37,-17820.707975757145
38,-19934.227573334716
39,-16885.223356244875
40,-16429.4886536672
41,-18296.316590220813
42,-19551.60957891606
43,-19470.339410412576
44,-18228.682602225694
45,-18949.806848519293
46,-17237.915868943244
47,-13499.839574082662
48,-16057.155199877434
49,-19821.463527241653
50,-19068.321851810026
51,-19537.766698114756
52,-16707.91146339923
53,-7630.7094362776115
54,-12974.198214265281
55,-15086.915431343765
56,-17215.375252389476
57,-15851.698047397493
58,-17988.132040302764
59,-17826.918698491852
60,-18862.768259048516
61,-18882.016461690728
62,-17837.08596086302
63,-17480.825994242165
64,-18254.294828429007
65,-16579.72885647496
66,-16682.839519954076
67,-14533.418503167471
68,-18304.784326405752
69,-18125.3948089307
70,-16304.555714134394
71,-16267.657564886602
72,-15512.032345752406
73,-16798.861493111413
74,-12386.748816624677
75,-17338.045886900356
76,-17783.531533340712
77,-19776.6967635666
78,-16178.428416269395
79,-17862.21559234283
80,-15815.937959336745
81,-20481.932796962163
82,-16590.18171559953
83,-11827.766076305712
84,-12041.42068037806
85,-16631.576817723
86,-16614.66820829006
87,-16135.432687221411
88,-15058.833629941015
89,-10446.700978182773
90,-11465.187659986275
91,-10921.43802410521
92,-11899.819214135186
93,-9727.647935123681
94,-9314.279559585753
95,-9136.478648510447
96,-9794.628240180753
97,-12955.156521503068
98,-14936.091174369893
99,-14052.361065048864
100,-16164.026650271111
101,-14056.07570764478
102,-17768.24548990627
103,-17728.468782351665
104,-18960.61050587422
105,-16510.62908205794
106,-15175.014004463936
107,-15814.05993318617
108,-19974.12476463011
109,-17004.09396417268
110,-15832.39778196846
111,-17015.135291992767
112,-15957.145617392922
113,-14630.167941747815
114,-14549.462765510694
115,-17063.022504914334
116,-18787.467985762185
117,-16530.78344425222
118,-20664.088043010524
119,-12082.445744711116
120,-16355.506387659645
121,-11342.263865679677
122,-9094.574240518648
123,-10246.573040818857
124,-13345.532790060752
125,-14551.460489779802
126,-7352.231365618189
127,-8777.080075056878
128,-6621.644740124271
129,-8771.007903880582
130,-7982.229652789729
131,-7914.692843893754
132,-7387.708572028334
133,-15962.450442186391
134,-16754.443404532813
135,-10094.442589558797
136,-13240.276892768728
137,-7366.625170029819
138,-7675.315050548701
139,-6077.540211260521
140,-6202.131801003487
141,-4901.312942868784
142,-4574.378387524104
143,-3580.68539331132
144,-4213.451259754016
145,-4705.939204467791
146,-5750.363359341181
147,-5387.671673240261
148,-4749.523807664025
149,-6430.624253906653
150,-5389.478584051643
151,-5529.743874204551
152,-5351.2304526373
153,-5062.450573700276
154,-4428.4880310031385
155,-4564.109607363239
156,-5152.053622743429
157,-4824.30313854721
158,-4475.3963086441345
159,-4296.370825408132
160,-3860.5744491082805
161,-4276.01802152411
162,-3012.8723203362356
163,-4147.297657024634
164,-5917.279541246433
165,-5347.66594494466
166,-4870.888498180231
167,-5408.564430127814
168,-5025.8775185835275
169,-4344.962912306355
170,-4375.920781346369
171,-4940.12424214527
172,-5283.328842574643
173,-4963.977085588313
174,-4642.540947988963
175,-4679.129639438392
176,-4712.1818607214245
177,-3416.9554390319777
178,-4064.812502262027
179,-4778.321912480811
180,-3745.010013030049
181,-3590.712654258349
182,-3237.841635590474
183,-2976.8318771009517
184,-2832.00471637253
185,-3062.6662227829365
186,-4468.579013035404
187,-4582.419248131687
188,-4368.600675673553
189,-3781.3058330046347
190,-2949.0757006289823
191,-3335.469552915894
192,-3700.5941513558682
193,-3831.520480947454
194,-4048.101829114149
195,-4106.067447640776
196,-4100.933318140759
197,-4175.42115321963
198,-4312.856011856738
199,-4486.946239621101
200,-4708.0966466878635
